Date,Close
2024-11-09,1894.94
2024-11-10,1895.58
2024-11-11,1891.32
2024-11-12,1890.15
2024-11-13,1882.71
2024-11-14,1882.98
2024-11-15,1886.31
2024-11-16,1885.81
2024-11-17,1894.19
2024-11-18,1889.29
2024-11-19,1882.26
2024-11-20,1889.16
2024-11-21,1893.21
2024-11-22,1899.45
2024-11-23,1895.95
2024-11-24,1892.52
2024-11-25,1896.93
2024-11-26,1904.26
2024-11-27,1912.15
2024-11-28,1919.74
2024-11-29,1912.94
2024-11-30,1917.59
2024-12-01,1914.06
2024-12-02,1916.71
2024-12-03,1920.25
2024-12-04,1915.65
2024-12-05,1909.28
2024-12-06,1906.9
2024-12-07,1907.21
2024-12-08,1904.01
2024-12-09,1902.12
2024-12-10,1900.0
2024-12-11,1897.1
2024-12-12,1892.94
2024-12-13,1892.76
2024-12-14,1889.98
2024-12-15,1885.45
2024-12-16,1888.08
2024-12-17,1896.57
2024-12-18,1896.04
2024-12-19,1904.7
2024-12-20,1901.17
2024-12-21,1897.33
2024-12-22,1893.46
2024-12-23,1895.5
2024-12-24,1901.84
2024-12-25,1897.52
2024-12-26,1899.01
2024-12-27,1907.73
2024-12-28,1908.63
2024-12-29,1910.13
2024-12-30,1914.89
2024-12-31,1910.78
2025-01-01,1907.01
2025-01-02,1917.15
2025-01-03,1912.18
2025-01-04,1917.94
2025-01-05,1912.53
2025-01-06,1922.18
2025-01-07,1928.89
2025-01-08,1932.01
2025-01-09,1936.6
2025-01-10,1935.74
2025-01-11,1943.02
2025-01-12,1952.69
2025-01-13,1954.1
2025-01-14,1963.78
2025-01-15,1966.41
2025-01-16,1970.73
2025-01-17,1965.93
2025-01-18,1970.19
2025-01-19,1973.64
2025-01-20,1982.9
2025-01-21,1987.27
2025-01-22,1991.85
2025-01-23,1997.01
2025-01-24,2007.24
2025-01-25,2017.12
2025-01-26,2016.65
2025-01-27,2014.82
2025-01-28,2017.2
2025-01-29,2016.56
2025-01-30,2012.52
2025-01-31,2019.67
2025-02-01,2015.18
2025-02-02,2018.09
2025-02-03,2026.92
2025-02-04,2029.95
